System;UI;SI;SD
1;0,35;0,25;0
2;0,4;0,25;0
3;0,5;0,33;0
4;0,55;0,42;0,38
5;0,55;0,42;0,38
6;0,45;0,50;0
7;0,45;0,50;0,38
8;0,55;0,42;0,13
9;0,65;0,58;0,63
10;0,75;0,69;0,75
